"","garrett_3","garrett_4","garrett_5","garrett_7","garrett_8","garrett_9","garrett_10","garrett_11","garrett_12","garrett_13","garrett_14","garrett_15","garrett_17","garrett_18","garrett_19","garrett_21","garrett_28","garrett_30","garrett_31","garrett_36","garrett_43","garrett_46","garrett_48","25617X10","25617X11","25617X16","25617X17","25617X18","25617X19","25617X20","25617X21","25617X9"
"Jedunavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06051228349639e-05,0,0,6.0893184889551e-06,0,0,0,0,0
"Junavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52754097270249e-05,0,0,0,0,0,0,0,0
"Sukhumvitvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19782786476343e-05,0,0,0,0,0,0,0,0
"Shapirovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13188524317562e-05,0,0,0,0,0,0,0,0
"Murrayvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13188524317562e-05,0,0,6.0893184889551e-06,0,0,0,0,0
"Sukkupivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59891393238172e-05,0,0,0,0,0,0,0,0
"Lacnuvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59891393238172e-05,0,0,0,0,0,0,0,0
"Yosifvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59891393238172e-05,0.0188654551114182,0,0,0,0,0,0,0
"Busanvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59891393238172e-05,0,0,0,0,0,0,0,0
"Schiekvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0.000332494339283874,0,0,0,0,0,0
"Tybeckvirus",0,0,0,0,0,0,0,0,3.35836321437003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0,6.0893184889551e-06,0,0,0,0,0
"Larmunavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06594262158781e-05,0,0.00134509073619385,0,0,0,0,0,0
"Lughvirus",0.00652058338755254,0,0,0.00365349298285781,0,0.000914557747310133,0.000391492604704697,0,0,0,0,0,0,0,0.00200987415095701,0.000838889226774828,0.000578909404151707,0.000926364035412759,0,0,0,0.0029880863240562,0.00646458068215692,1.06594262158781e-05,0,0,0.000231394102580294,7.02656310674372e-05,1.47923348487587e-05,3.8673011412483e-05,0.000100731244076193,0
"Tanisvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231563761660683,0,0,0,0,0,0,5.32971310793906e-06,0,0,0,0,0,0,0,0
"Toutatisvirus",0.000285572995075294,0,0,0.0057238056731439,0,0.000304852582436711,0.00117447781411409,0,0,0.0497733266681606,0,0,0,0,0.0046381711175931,0.00031458346004056,0,0.02273154825359,0.00846819850003619,0.091242242911122,0,0.00158192805391211,0.00191543131323168,5.32971310793906e-06,0,0,0.00540731481819213,0.006717394330047,0,0.00901081165910854,0.00256864672394293,0
"Alcyoneusvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,8.31235848209684e-05,0,0,0,0,0,0
"Brigitvirus",0,0,0,0,0,0.029387788946899,0.00260995069803131,0,0,0.000430937893230828,0,0,0,0,0,0,0.000926255046642731,7.12587719548276e-05,0,0,0,0.00193346762144813,0.00730258188169578,5.32971310793906e-06,0,0,6.0893184889551e-05,3.79434407764161e-05,0,8.50806251074626e-05,0,0
"Berlinvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0,0,0,0,0,0,0
"Paclarkvirus",0,0.000205530412335113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0,0,0,0,0,0,0
"Avocadovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0,0,0,0,0,0,0
